orig_index,h_0,h_1,h_2,h_3,h_4,cluster
340,-0.3131619,-0.3021289,-0.24642141,-0.08881186,0.1311087,4
341,-0.0049143434,-0.14878356,-0.17393164,0.03662356,0.08713871,3
342,0.0019119009,-0.19334054,-0.19206145,0.08248073,0.1348216,3
343,0.001370579,-0.14929527,-0.20942694,0.07261059,0.14268994,3
344,-0.010797486,-0.16276059,-0.17011186,0.06261006,0.1648533,3
345,-0.022060394,-0.12205565,-0.13559975,0.04926783,0.1013335,3
346,-0.014436126,-0.20199627,-0.16753893,0.056075245,0.116038606,3
347,-0.0724904,-0.19724621,-0.16496754,0.05161397,0.12702425,3
348,-0.05530542,-0.1821993,-0.17230098,0.07413851,0.103659086,3
349,-0.26424548,-0.24329473,-0.19997257,-0.033701874,0.18423423,4
350,-0.04865254,-0.18944821,-0.17035633,0.061299413,0.14519757,3
351,-0.041152455,-0.1557269,-0.1872347,0.052234605,0.1265628,3
352,-0.026585788,-0.18482818,-0.13349605,0.08675417,0.14089674,3
353,0.06539583,-0.11794112,-0.3823168,0.08971229,0.17810896,0
354,-0.073278405,-0.2294364,-0.1709276,0.051646926,0.16535655,3
355,-0.0020866618,-0.20309022,-0.21341623,0.02941379,0.13690427,3
356,-0.094894476,-0.19053215,-0.17699558,0.041830897,0.1367657,3
357,-0.017555788,-0.21138605,-0.12830672,0.09142916,0.13280778,3
358,-0.03975641,-0.15689681,-0.21517143,0.07735461,0.113077074,3
359,0.00028081238,-0.06456222,-0.27291036,0.028559476,0.14347845,0
360,0.011137456,-0.16575809,-0.28651658,0.09369321,0.17327254,0
361,-0.019346476,-0.17420745,-0.15700188,0.05501467,0.140295,3
362,0.0014562756,-0.19654818,-0.21102598,0.04974097,0.14945197,3
363,0.006007813,-0.16203305,-0.20025846,0.103648245,0.119688295,3
364,-0.048493564,-0.18294829,-0.13563052,0.07933054,0.13151011,3
365,-0.050587617,-0.22406572,-0.18038155,0.029714186,0.10690028,3
366,-0.3096658,-0.30512965,-0.24560836,-0.09129314,0.12474693,4
367,-0.035458535,-0.18820934,-0.16542515,0.069727816,0.14574751,3
368,-0.08132212,-0.24771555,-0.18147373,0.018008903,0.1568349,3
369,0.019173518,-0.1997544,-0.1457552,0.08081821,0.15060271,3
370,-0.024140656,-0.18904287,-0.17153363,0.053894073,0.12897919,3
