orig_index,h_0,h_1,h_2,h_3,h_4,cluster
304,-0.08110443,-0.0070831776,0.22644301,0.118654564,-0.08981884,2
305,-0.065160856,-0.034321874,0.28652334,0.17993662,-0.10519302,2
306,-0.17536472,-0.074817106,0.24256991,0.16070653,-0.049694568,2
307,-0.102524266,-0.067655966,0.2956311,0.1391593,-0.107666194,2
308,-0.13112071,-0.025571927,0.24135853,0.14427575,-0.06793296,2
309,-0.094077185,0.0049751997,0.25267416,0.17897964,-0.09177258,2
310,-0.07329455,-0.050817475,0.4342097,-0.0005516857,0.33264136,4
311,-0.25294143,0.10188097,0.4928741,-0.09474236,-0.17686775,3
312,-0.13959359,-0.04083298,0.260627,0.16634224,-0.074941866,2
313,-0.2258206,-0.058876086,0.34235573,0.00066803023,-0.06822491,0
314,-0.2639093,-0.07862295,0.24662073,0.046357855,-0.031776674,0
315,-0.11624013,-0.016716272,0.22107825,0.09772417,-0.09626649,2
316,-0.072986424,-0.016135558,0.23562638,0.16781156,-0.10647647,2
317,-0.26104122,0.08848518,0.47366056,-0.05176774,-0.14770864,3
318,-0.18534267,-0.05359525,0.2105822,0.060548067,-0.056104917,0
319,-0.24523629,-0.07417704,0.25280142,0.020107284,-0.035786815,0
320,-0.22513491,-0.09616456,0.29254034,0.030584028,-0.032213915,0
321,-0.3029821,-0.12095693,0.27770734,0.029552642,0.03188555,0
322,0.18865615,0.08843565,0.4966629,-0.0045570135,0.58597803,1
323,-0.2677235,-0.051658593,0.34045935,-0.0156170465,-0.0761463,0
324,-0.14897352,-0.051963612,0.25253496,0.15519202,-0.06591842,2
325,-0.30184147,0.12376097,0.55875766,-0.10600367,-0.21584672,3
326,-0.11215119,-0.040664673,0.22251266,0.10354578,-0.09786756,2
327,-0.055800356,-0.10337898,0.502701,0.01663205,0.101234555,4
328,-0.05660937,0.0052770823,0.2622164,0.13025716,-0.113071404,2
329,-0.28445816,-0.07748924,0.28381512,0.03027389,-0.005370429,0
330,-0.27939308,-0.05671887,0.19640699,0.04762084,-0.049466975,0
331,0.17330271,0.039906934,0.42335,0.055263206,0.37381756,4
332,-0.1878199,-0.012414217,0.29601797,0.039817106,-0.06841281,2
333,-0.30973268,-0.056604866,0.17743194,0.059285704,0.019967474,0
334,-0.0709389,-0.01324977,0.26274744,0.11697043,-0.1409652,2
335,-0.04043889,-0.028583445,0.36246827,0.19085668,-0.08323878,2
336,-0.13779242,-0.01290141,0.22160296,0.11500795,-0.068101875,2
337,-0.28332657,0.008516204,0.34768575,-0.04307185,-0.108414516,3
338,-0.10640602,0.020050853,0.23601907,0.1843843,-0.03394247,2
339,-0.07828222,-0.06789969,0.29876286,0.2356042,-0.057491228,2
340,-0.062137485,-0.039458632,0.29803586,0.18053739,-0.10304082,2
341,-0.28121382,-0.037847772,0.16674441,0.095451884,-0.0007664263,0
342,-0.33482847,-0.13131675,0.27050745,0.04101836,0.0034241676,0
343,-0.25085372,-0.069720134,0.26760927,0.034543782,-0.040134475,0
344,-0.18944807,-0.027184203,0.23814787,0.03801129,-0.05786165,0
345,-0.24579367,-0.029317945,0.17155986,0.07925893,-0.05261261,0
346,-0.23551427,-0.07833094,0.25160056,0.08963015,-0.015994977,0
347,-0.15443751,-0.05641091,0.25652573,0.08129724,-0.055783592,2
348,-0.15526927,0.0029496327,0.26351994,0.06493526,-0.10140082,2
349,-0.14084803,-0.03467998,0.24034339,0.079109445,-0.08715276,2
350,-0.26171932,-0.09230925,0.31050873,-0.01834917,-0.005919516,0
351,-0.2883788,-0.05975048,0.17611626,0.10317538,-0.010118842,0
352,-0.17270675,-0.05309996,0.21103989,0.08533499,-0.06887956,2
353,-0.28189075,0.08930075,0.36215556,-0.03998208,-0.16576943,3
354,-0.10825507,-0.057480242,0.21312296,0.10732113,0.01295156,2
355,-0.28759763,-0.10556112,0.23847309,0.05936954,0.02449736,0
356,-0.099688046,0.022253351,0.19969067,0.12809452,-0.052961476,2
357,-0.1721888,-0.060316894,0.22707765,0.13122407,-0.049648464,2
358,-0.3349275,-0.08400487,0.16280073,0.0778308,0.043056697,0
359,-0.20247492,0.12106845,0.14315757,0.033235013,-0.066220194,2
360,-0.2690996,0.03652379,0.3956975,-0.0034797266,-0.10193616,3
361,-0.30966407,-0.102355376,0.21156976,0.029915838,-0.00952547,0
362,-0.32266077,0.0322283,0.41515476,-0.10148655,-0.12482181,3
363,-0.18949804,0.005515108,0.31100178,0.0038505867,-0.12016417,2
364,-0.13494414,-0.006511718,0.1972447,0.114736736,-0.035189964,2
365,-0.11205779,-0.0059274435,0.26923954,0.11072391,-0.1248886,2
366,-0.074794665,-0.042954654,0.3057251,0.19209117,-0.101479545,2
367,-0.23588645,-0.100821555,0.21813677,0.05847224,-0.012318,0
368,-0.19180056,0.0063774884,0.31700528,0.15123667,-0.10940285,2
369,-0.26240364,-0.10116561,0.2553064,0.10577816,-0.0017931834,0
370,-0.24444698,-0.08882412,0.23243597,0.016007118,-0.022090398,0
371,-0.16256604,-0.06948178,0.25366428,0.14887981,-0.063836195,2
372,-0.329921,0.09587322,0.4064735,-0.12967412,-0.17776799,3
373,-0.0762039,-0.020152032,0.28128773,0.19148886,-0.089701325,2
374,-0.21412537,-0.04430155,0.22371534,0.10125743,-0.00024931133,0
375,-0.060502768,-0.099470235,0.36053723,0.25266707,-0.11476506,2
